time,temperature_2m,surface_pressure,wind_speed_100m
2024-01-20 00:00:00,-0.7,1022.1,29.0
2024-01-20 01:00:00,0.0,1022.0,31.6
2024-01-20 02:00:00,0.6,1021.8,33.2
2024-01-20 03:00:00,1.0,1022.0,34.2
2024-01-20 04:00:00,1.3,1021.9,34.0
2024-01-20 05:00:00,1.9,1021.8,34.8
2024-01-20 06:00:00,2.6,1021.8,35.8
2024-01-20 07:00:00,2.9,1021.7,36.4
2024-01-20 08:00:00,3.1,1021.8,36.3
2024-01-20 09:00:00,3.4,1021.9,37.1
2024-01-20 10:00:00,4.2,1021.7,35.8
2024-01-20 11:00:00,4.9,1021.7,35.5
2024-01-20 12:00:00,5.5,1021.2,34.7
2024-01-20 13:00:00,5.8,1020.5,35.5
2024-01-20 14:00:00,5.8,1019.7,34.0
2024-01-20 15:00:00,5.5,1019.3,36.2
2024-01-20 16:00:00,4.9,1018.9,36.8
2024-01-20 17:00:00,4.2,1018.6,37.8
2024-01-20 18:00:00,4.1,1018.1,38.5
2024-01-20 19:00:00,4.4,1017.6,39.5
2024-01-20 20:00:00,4.2,1016.6,40.2
2024-01-20 21:00:00,4.3,1015.6,40.2
2024-01-20 22:00:00,4.6,1014.2,39.1
2024-01-20 23:00:00,4.5,1013.3,41.3
2024-01-21 00:00:00,3.6,1012.6,46.0
2024-01-21 01:00:00,3.6,1011.7,44.8
2024-01-21 02:00:00,3.6,1010.5,44.7
2024-01-21 03:00:00,4.1,1009.8,48.2
2024-01-21 04:00:00,5.3,1008.9,50.3
2024-01-21 05:00:00,6.9,1008.1,50.1
2024-01-21 06:00:00,8.2,1008.3,47.9
2024-01-21 07:00:00,8.7,1008.8,45.8
2024-01-21 08:00:00,8.8,1009.0,43.5
2024-01-21 09:00:00,9.1,1009.6,43.5
2024-01-21 10:00:00,10.0,1010.2,41.9
2024-01-21 11:00:00,10.4,1010.7,44.2
2024-01-21 12:00:00,11.0,1009.9,47.7
2024-01-21 13:00:00,11.5,1008.7,51.9
2024-01-21 14:00:00,11.8,1007.9,57.7
2024-01-21 15:00:00,11.7,1007.0,60.5
2024-01-21 16:00:00,11.4,1006.1,61.9
2024-01-21 17:00:00,11.3,1004.8,65.1
2024-01-21 18:00:00,11.2,1003.0,68.1
2024-01-21 19:00:00,11.5,1001.9,73.1
2024-01-21 20:00:00,11.9,1000.2,76.3
2024-01-21 21:00:00,11.9,998.7,77.0
2024-01-21 22:00:00,12.1,997.2,71.7
2024-01-21 23:00:00,11.8,996.4,73.0
2024-01-22 00:00:00,11.9,995.3,73.6
2024-01-22 01:00:00,12.3,994.5,72.1
2024-01-22 02:00:00,12.7,994.6,69.5
2024-01-22 03:00:00,12.0,995.6,63.2
2024-01-22 04:00:00,11.2,996.9,56.5
2024-01-22 05:00:00,10.5,998.0,49.8
2024-01-22 06:00:00,9.4,999.4,46.4
2024-01-22 07:00:00,8.9,1000.8,45.3
2024-01-22 08:00:00,8.6,1002.2,45.2
2024-01-22 09:00:00,8.7,1003.6,45.9
2024-01-22 10:00:00,9.2,1004.6,42.7
2024-01-22 11:00:00,9.8,1005.5,40.6
2024-01-22 12:00:00,10.1,1005.9,45.7
2024-01-22 13:00:00,10.4,1006.2,49.4
2024-01-22 14:00:00,10.3,1006.6,49.3
2024-01-22 15:00:00,10.1,1007.4,50.1
2024-01-22 16:00:00,9.7,1008.6,49.4
2024-01-22 17:00:00,8.9,1009.7,49.7
2024-01-22 18:00:00,8.4,1010.7,48.9
2024-01-22 19:00:00,8.1,1012.2,47.7
2024-01-22 20:00:00,7.9,1013.1,46.2
2024-01-22 21:00:00,7.8,1013.9,45.4
2024-01-22 22:00:00,7.5,1015.4,43.3
2024-01-22 23:00:00,7.1,1016.7,41.8
2024-01-23 00:00:00,6.8,1018.1,39.4
2024-01-23 01:00:00,6.5,1018.9,36.5
2024-01-23 02:00:00,6.0,1019.0,34.1
2024-01-23 03:00:00,5.7,1020.0,30.7
2024-01-23 04:00:00,5.7,1020.8,29.7
2024-01-23 05:00:00,5.5,1020.9,28.7
2024-01-23 06:00:00,5.9,1021.0,28.7
2024-01-23 07:00:00,6.5,1020.9,28.4
2024-01-23 08:00:00,6.9,1020.3,30.9
2024-01-23 09:00:00,7.6,1019.5,34.9
2024-01-23 10:00:00,8.6,1018.3,38.5
2024-01-23 11:00:00,9.3,1016.8,45.9
2024-01-23 12:00:00,9.6,1015.2,52.0
2024-01-23 13:00:00,10.1,1013.7,51.9
2024-01-23 14:00:00,11.1,1012.7,51.2
2024-01-23 15:00:00,11.9,1011.9,51.5
2024-01-23 16:00:00,12.3,1011.5,51.2
2024-01-23 17:00:00,12.6,1011.2,52.0
2024-01-23 18:00:00,12.8,1010.8,51.7
2024-01-23 19:00:00,12.8,1010.3,54.2
2024-01-23 20:00:00,12.8,1009.9,55.8
2024-01-23 21:00:00,13.0,1009.2,57.4
2024-01-23 22:00:00,13.1,1009.3,60.3
2024-01-23 23:00:00,13.2,1009.5,59.9
2024-01-24 00:00:00,13.0,1010.3,60.8
2024-01-24 01:00:00,12.6,1011.0,61.4
2024-01-24 02:00:00,12.0,1011.9,63.8
2024-01-24 03:00:00,11.6,1012.9,61.8
2024-01-24 04:00:00,11.0,1013.8,58.0
2024-01-24 05:00:00,10.6,1015.1,54.7
2024-01-24 06:00:00,10.4,1016.5,51.1
2024-01-24 07:00:00,10.0,1017.9,47.1
2024-01-24 08:00:00,9.8,1019.0,44.5
2024-01-24 09:00:00,9.7,1020.2,42.5
2024-01-24 10:00:00,10.1,1021.3,37.3
2024-01-24 11:00:00,10.8,1021.9,36.2
2024-01-24 12:00:00,11.2,1022.4,39.0
2024-01-24 13:00:00,11.5,1022.3,39.3
2024-01-24 14:00:00,11.5,1023.1,39.2
2024-01-24 15:00:00,11.2,1023.1,34.2
2024-01-24 16:00:00,10.8,1023.8,31.1
2024-01-24 17:00:00,10.1,1024.2,30.1
2024-01-24 18:00:00,9.5,1024.7,29.0
2024-01-24 19:00:00,8.8,1025.4,28.0
2024-01-24 20:00:00,8.2,1025.9,25.6
2024-01-24 21:00:00,7.5,1026.5,23.4
2024-01-24 22:00:00,6.2,1026.9,18.9
2024-01-24 23:00:00,5.9,1027.0,18.4
2024-01-25 00:00:00,5.6,1027.0,17.6
2024-01-25 01:00:00,5.2,1026.6,16.9
2024-01-25 02:00:00,5.1,1026.1,16.6
2024-01-25 03:00:00,5.4,1025.9,18.0
2024-01-25 04:00:00,6.0,1025.1,19.8
2024-01-25 05:00:00,6.8,1024.7,22.6
2024-01-25 06:00:00,7.7,1024.3,25.0
2024-01-25 07:00:00,8.3,1023.6,27.1
2024-01-25 08:00:00,8.9,1023.2,28.1
2024-01-25 09:00:00,9.8,1022.8,28.7
2024-01-25 10:00:00,10.4,1022.7,27.1
2024-01-25 11:00:00,11.1,1022.5,28.4
2024-01-25 12:00:00,11.5,1021.8,32.1
2024-01-25 13:00:00,11.8,1021.2,31.3
2024-01-25 14:00:00,12.2,1020.6,29.7
2024-01-25 15:00:00,12.2,1019.9,28.6
2024-01-25 16:00:00,11.8,1019.8,30.3
2024-01-25 17:00:00,11.3,1019.7,32.3
2024-01-25 18:00:00,11.1,1019.4,33.4
2024-01-25 19:00:00,11.2,1019.0,34.8
2024-01-25 20:00:00,11.3,1018.4,36.4
2024-01-25 21:00:00,11.6,1017.5,38.8
2024-01-25 22:00:00,11.8,1017.0,39.4
2024-01-25 23:00:00,11.9,1016.3,43.0
